miRNA_name,evidence
['hsa-mir-938'],['Unconfirmed']
['hsa-mir-570'],['dbDEMC']
['hsa-mir-591'],['Unconfirmed']
['hsa-mir-595'],['dbDEMC']
['hsa-mir-371'],['dbDEMC']
['hsa-mir-1234'],['Unconfirmed']
['hsa-mir-527'],['dbDEMC']
['hsa-mir-1231'],['Unconfirmed']
['hsa-mir-26'],['Unconfirmed']
['hsa-mir-500b'],['Unconfirmed']
['hsa-mir-1301'],['Unconfirmed']
['hsa-mir-92'],['dbDEMC']
['hsa-mir-517c'],['dbDEMC']
['hsa-mir-522'],['Unconfirmed']
['hsa-mir-1202'],['Unconfirmed']
